Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
  950.30,     289.2,  41.4     ,4.8645e-004, 2.80,  0.29%,   0.65,    5286.0,  40,  ,594479.500,,,,,940.22,959.875
  965.36,     539.0,  53.1     ,9.0674e-004, 1.41,  0.15%,   0.48,    2594.2,  41,  ,594479.500,,,Ac228,964.77,959.875,967.565
  969.64,    1676.2,  60.3     ,2.8197e-003, 1.49,  0.15%,   1.28,    4164.6,  42,  ,594479.500,,,Ac228,968.97,965.975,974.956
 1120.96,    1177.9,  55.0     ,1.9813e-003, 1.73,  0.15%,   0.98,    4389.2,  43,  ,594479.500,,,Bi214,1120.29,1114.94,1126.5
 1155.60,     215.6,  41.0     ,3.6267e-004, 1.69,  0.15%,   0.93,    4086.7,  44,  ,594479.500,,,,,1149.31,1163.21
 1238.93,     563.6,  51.6     ,9.4805e-004, 1.89,  0.15%,   1.36,    5169.6,  45,  ,594479.500,,,Bi214,1238.11,1231.95,1245.74
 1281.78,     104.5,  32.0     ,1.7578e-004, 1.51,  0.12%,   0.62,    2803.6,  46,  ,594479.500,,,Bi214,1280.96,1275.73,1288.21
 1378.67,     312.7,  29.6     ,5.2595e-004, 1.73,  0.13%,   1.38,    1370.4,  47,  ,594479.500,,,Bi214,1377.67,1373.02,1384.03
 1409.13,     168.8,  30.3     ,2.8388e-004, 2.03,  0.14%,   1.03,    1323.7,  48,  ,594479.500,,,Bi214,1407.98,1402.49,1414.16
 1461.86,   36737.7,  193.8    ,6.1798e-002, 1.95,  0.13%,   2.10,   37874.8,  49,  ,594479.500,,,K40,1460.75,1455.19,1468.92
 1469.78,      65.9,  19.5     ,1.1086e-004, 1.60,  0.11%,   0.19,     488.0,  50,  ,594479.500,,,,,1466.89,1472.99
 1510.24,     166.5,  23.4     ,2.8003e-004, 1.96,  0.13%,   1.38,    1239.4,  51,  ,594479.500,,,Bi214,1509.23,1502.38,1519.76
 1588.96,     267.1,  27.3     ,4.4929e-004, 1.79,  0.11%,   0.34,    1229.0,  52,  ,594479.500,,,Ac228,1588.20,1584.84,1597.72
 1593.48,     230.0,  31.6     ,3.8697e-004, 2.25,  0.14%,   0.34,    1229.0,  53,  ,594479.500,,,Tl208,1647.50,1584.84,1597.72
 1621.54,     120.5,  19.3     ,2.0272e-004, 1.68,  0.10%,   1.89,     908.9,  54,  ,594479.500,,,Bi212,1620.50,1613.99,1629.58
 1631.44,     133.6,  22.7     ,2.2470e-004, 2.25,  0.14%,   2.38,     751.6,  55,  ,594479.500,,,Bi214,1636.30,1625.77,1638.4
 1661.85,      61.4,  15.0     ,1.0330e-004, 1.18,  0.07%,   0.91,     927.0,  56,  ,594479.500,,,Bi214,1661.28,1651.96,1671.62
 1730.53,     252.7,  23.6     ,4.2500e-004, 1.99,  0.11%,   1.12,     801.7,  57,  ,594479.500,,,Bi214,1729.59,1723.81,1737
 1765.60,    1233.7,  39.2     ,2.0753e-003, 2.13,  0.12%,   0.81,    1763.9,  58,  ,594479.500,,,Bi214,1764.49,1758.07,1772.81
 1848.36,     171.2,  21.4     ,2.8798e-004, 2.53,  0.14%,   1.05,     987.0,  59,  ,594479.500,,,Bi214,1847.42,1833.65,1856.7
 2104.49,     303.8,  25.4     ,5.1111e-004, 3.03,  0.14%,   1.05,    1026.9,  60,  ,594479.500,,,Tl208,1744.00,2093.33,2115.7
 2119.82,      81.6,  21.8     ,1.3729e-004, 3.18,  0.15%,   0.75,     697.9,  61,  ,594479.500,,,Bi214,2118.55,2109.6,2129.26
 2204.83,     412.1,  25.6     ,6.9321e-004, 2.31,  0.10%,   1.00,     866.2,  62,  ,594479.500,,,Bi214,2204.21,2198.42,2214.7
 2448.94,      76.8,  17.9     ,1.2925e-004, 2.36,  0.10%,   1.29,     435.8,  63,  ,594479.500,,,Bi214,2447.86,2443.9,2458.81
 2615.85,    2380.9,  50.1     ,4.0050e-003, 2.64,  0.10%,   1.22,    2645.0,  64,  ,594479.500,,,Tl208,2614.53,2605.97,2625.64
