Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
 1238.90,     885.6,  69.0     ,1.6840e-003, 1.85,  0.15%,   1.81,    8663.7,  40,  ,525880.062,,,Bi214,1238.11,1231.95,1245.74
 1281.81,     151.4,  49.9     ,2.8795e-004, 1.28,  0.10%,   0.51,    4613.8,  41,  ,525880.062,,,Bi214,1280.96,1275.73,1288.21
 1378.60,     537.9,  41.5     ,1.0229e-003, 1.67,  0.12%,   1.01,    2576.4,  42,  ,525880.062,,,Bi214,1377.67,1373.02,1384.03
 1386.48,     128.3,  26.2     ,2.4405e-004, 1.62,  0.12%,   0.78,    2690.0,  43,  ,525880.062,,,Bi214,1385.31,1380.8,1396.39
 1402.53,     197.8,  27.7     ,3.7615e-004, 1.89,  0.14%,   0.83,    4588.0,  44,  ,525880.062,,,Bi214,1401.50,1393,1419.44
 1409.21,     319.5,  29.4     ,6.0748e-004, 1.84,  0.13%,   0.83,    4588.0,  45,  ,525880.062,,,Bi214,1407.98,1393,1419.44
 1461.95,   62198.5,  252.0    ,1.1828e-001, 1.93,  0.13%,   2.48,   64110.7,  46,  ,525880.062,,,K40,1460.75,1455.19,1468.92
 1497.27,     126.4,  22.1     ,2.4039e-004, 1.60,  0.11%,   1.08,    1650.0,  47,  ,525880.062,,,Ac228,1495.91,1487.22,1502.14
 1510.48,     260.3,  31.7     ,4.9506e-004, 2.03,  0.13%,   2.26,    2140.8,  48,  ,525880.062,,,Bi214,1509.23,1502.38,1519.76
 1589.19,     457.2,  35.5     ,8.6945e-004, 1.84,  0.12%,   2.07,    2057.0,  49,  ,525880.062,,,Ac228,1588.20,1584.84,1597.72
 1593.63,     342.9,  40.1     ,6.5198e-004, 2.18,  0.14%,   2.07,    2057.0,  50,  ,525880.062,,,Tl208,1592.54,1584.84,1597.72
 1621.93,     287.1,  36.6     ,5.4590e-004, 2.84,  0.17%,   0.87,    1572.8,  51,  ,525880.062,,,Bi212,1620.50,1613.99,1629.58
 1631.61,     244.0,  28.7     ,4.6396e-004, 1.88,  0.12%,   1.57,    1281.8,  52,  ,525880.062,,,Bi214,1636.30,1625.77,1638.4
 1662.41,     125.8,  23.2     ,2.3917e-004, 1.94,  0.12%,   0.69,    1628.0,  53,  ,525880.062,,,Bi214,1661.28,1651.96,1671.62
 1730.65,     436.0,  32.2     ,8.2902e-004, 2.28,  0.13%,   2.17,    1350.3,  54,  ,525880.062,,,Bi214,1729.59,1723.81,1737
 1765.63,    2183.3,  52.5     ,4.1517e-003, 2.11,  0.12%,   1.19,    3206.1,  55,  ,525880.062,,,Bi214,1764.49,1758.07,1772.81
 1848.70,     269.5,  26.5     ,5.1249e-004, 2.08,  0.11%,   0.78,    1736.9,  56,  ,525880.062,,,Bi214,1847.42,1833.65,1856.7
 2104.48,     585.1,  33.7     ,1.1125e-003, 3.14,  0.15%,   1.21,    1710.7,  57,  ,525880.062,,,Tl208,2103.53,2093.33,2115.7
 2119.74,     172.4,  25.1     ,3.2774e-004, 2.66,  0.13%,   1.90,    1192.8,  58,  ,525880.062,,,Bi214,2118.55,2109.6,2129.26
 2205.02,     612.5,  33.0     ,1.1646e-003, 2.44,  0.11%,   0.73,    1447.4,  59,  ,525880.062,,,Bi214,2204.21,2198.42,2214.7
 2448.91,     202.0,  24.4     ,3.8404e-004, 2.38,  0.10%,   0.86,     713.7,  60,  ,525880.062,,,Bi214,2447.86,2443.9,2458.81
 2615.99,    4104.7,  65.9     ,7.8053e-003, 2.62,  0.10%,   0.76,    4560.1,  61,  ,525880.062,,,Tl208,2614.53,2605.97,2625.64
