Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
 1002.13,     224.1,  42.2     ,3.8026e-004, 1.75,  0.17%,   0.41,    5578.5,  35,  ,589248.000,,,Pa234m,1000.99,995.963,1008.28,#FF6633,,Linear
 1120.73,    2067.2,  71.7     ,3.5082e-003, 1.70,  0.15%,   0.94,    7837.3,  36,  ,589248.000,,,Bi214,1120.29,1114.94,1126.5,,,Linear
 1238.85,     839.8,  68.3     ,1.4253e-003, 1.91,  0.15%,   1.04,    8808.3,  37,  ,589248.000,,,Bi214,1238.11,1231.95,1245.74,#006600,,Linear
 1281.97,     207.5,  39.0     ,3.5219e-004, 1.78,  0.14%,   0.81,    4714.9,  38,  ,589248.000,,,Bi214,1280.96,1275.73,1288.21,#006600,,Linear
 1378.53,     509.3,  40.2     ,8.6432e-004, 1.62,  0.12%,   0.71,    2550.0,  39,  ,589248.000,,,Bi214,1377.67,1373.02,1384.03,#006600,,Linear
 1408.77,     264.9,  29.2     ,4.4953e-004, 1.68,  0.12%,   0.97,    2157.3,  40,  ,589248.000,,,Bi214,1407.98,1402.49,1414.16,#006600,,Linear
 1461.75,   65582.6,  258.9    ,1.1130e-001, 1.93,  0.13%,   5.33,   67668.8,  41,  ,589248.000,,,K40,1460.75,1455.19,1468.92,,,Linear
 1510.18,     228.2,  31.8     ,3.8733e-004, 2.28,  0.15%,   0.59,    2112.6,  42,  ,589248.000,,,Bi214,1509.23,1502.38,1519.76,,,Linear
 1589.02,     414.9,  37.6     ,7.0409e-004, 2.06,  0.13%,   1.23,    1922.0,  43,  ,589248.000,,,Ac228,1588.20,1584.84,1597.72,,,Linear
 1593.54,     343.7,  38.4     ,5.8329e-004, 2.29,  0.14%,   1.23,    1922.0,  44,  ,589248.000,,,Tl208 (D.E.),1592.54,1584.84,1597.72,#00b9ff,,Linear
 1621.52,     229.0,  29.7     ,3.8859e-004, 2.14,  0.13%,   1.08,    1525.0,  45,  ,589248.000,,,Bi212,1620.50,1613.99,1629.58,#FF66FF,,Linear
 1631.38,     203.0,  26.4     ,3.4444e-004, 1.74,  0.11%,   0.87,    1247.2,  46,  ,589248.000,,,Bi214,1636.30,1625.77,1638.4,,,Linear
 1662.21,     157.3,  26.7     ,2.6701e-004, 2.43,  0.15%,   0.86,    1701.0,  47,  ,589248.000,,,Bi214,1661.28,1651.96,1671.62,,,Linear
 1730.40,     408.1,  29.9     ,6.9258e-004, 1.96,  0.11%,   0.86,    1304.8,  48,  ,589248.000,,,Bi214,1729.59,1723.81,1737,,,Linear
 1765.44,    1973.2,  50.6     ,3.3486e-003, 2.18,  0.12%,   1.47,    3014.6,  49,  ,589248.000,,,Bi214,1764.49,1758.07,1772.81,,,Linear
 1848.30,     299.9,  31.5     ,5.0899e-004, 2.97,  0.16%,   1.33,    1750.0,  50,  ,589248.000,,,Bi214,1847.42,1833.65,1856.7,,,Linear
 2104.30,     413.1,  31.4     ,7.0102e-004, 3.14,  0.15%,   1.04,    1636.0,  51,  ,589248.000,,,Tl208 (S.E.),2103.53,2093.33,2115.7,,,Linear
 2119.40,     157.5,  23.1     ,2.6731e-004, 2.42,  0.11%,   1.11,    1209.0,  52,  ,589248.000,,,Bi214,2118.55,2109.6,2129.26,,,Linear
 2204.60,     590.3,  33.7     ,1.0019e-003, 2.64,  0.12%,   1.02,    1393.0,  53,  ,589248.000,,,Bi214,2204.21,2198.42,2214.7,,,Linear
 2448.69,     189.3,  24.9     ,3.2128e-004, 2.31,  0.09%,   2.08,     738.0,  54,  ,589248.000,,,Bi214,2447.86,2443.9,2458.81,,,Linear
 2615.62,    3743.2,  63.0     ,6.3525e-003, 2.66,  0.10%,   2.45,    4195.0,  55,  ,589248.000,,,Tl208,2614.53,2605.97,2625.64,,,Linear
