Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   75.13,    2898.7,  87.8     ,4.8761e-003, 1.12,  1.48%,  22.78,   78154.0,  1,  ,594479.500,,,Pb212 (x-ray),74.82,60.6338,92.4783,#830808,,Linear
   77.32,    3245.4,  92.1     ,5.4592e-003, 0.87,  1.13%,  22.78,   78154.0,  2,  ,594479.500,,,Pb212 (x-ray),77.11,60.6338,92.4783,#830808,,Linear
   93.30,    1443.5,  97.8     ,2.4282e-003, 1.14,  1.22%,  14.06,   26316.0,  3,  ,594479.500,,,Th234,92.80,88.4131,99.2538,#9933ff,,Linear
  129.31,     534.7,  83.5     ,8.9939e-004, 0.71,  0.55%,   1.42,   25107.9,  4,  ,594479.500,,,Ac228,129.06,124.001,133.809,#cc3333,,Linear
  154.34,     279.5,  65.0     ,4.7009e-004, 0.60,  0.39%,   4.52,   10172.0,  5,  ,594479.500,,,Ac228,153.98,152.781,156.846,#cc3333,,Linear
  186.38,    2120.1,  106.6    ,3.5663e-003, 1.20,  0.64%,   0.86,   28010.0,  6,  ,594479.500,,,Ra226,186.21,179.883,191.402,,,Linear
  209.63,    1095.2,  95.2     ,1.8422e-003, 0.97,  0.46%,   0.78,   21720.0,  7,  ,594479.500,,,Ac228,209.25,205.631,215.794,#cc3333,,Linear
  239.04,   12888.6,  136.0    ,2.1680e-002, 1.01,  0.42%,   3.16,   51133.0,  8,  ,594479.500,,,Pb212,238.63,229.346,248.996,#830808,,Linear
  242.06,    3055.6,  106.0    ,5.1399e-003, 1.56,  0.64%,   3.16,   51133.0,  9,  ,594479.500,,,Pb214,242.00,229.346,248.996,,,Linear
  270.60,    1185.1,  84.5     ,1.9935e-003, 1.28,  0.47%,   2.52,   17948.2,  10,  ,594479.500,,,,,265.147,276.777,,,Linear
  295.66,    4307.6,  96.4     ,7.2460e-003, 1.02,  0.35%,  10.62,   16666.0,  11,  ,594479.500,,,,,290.329,299.815,,,Linear
  300.52,     775.2,  99.0     ,1.3041e-003, 0.93,  0.31%,   0.06,    6008.0,  12,  ,594479.500,,,Pb212,300.09,298.46,302.526,#830808,,Linear
  334.51,    2198.2,  74.0     ,3.6977e-003, 0.53,  0.16%,  27.37,   11385.0,  13,  ,594479.500,,,,,329.63,337.761,,,Linear
  338.86,    2621.3,  80.8     ,4.4094e-003, 1.05,  0.31%,   4.47,   12233.5,  14,  ,594479.500,,,Ac228,338.32,335.051,344.247,#cc3333,,Linear
  352.48,    7724.5,  107.2    ,1.2994e-002, 1.12,  0.32%,   1.33,   18151.4,  15,  ,594479.500,,,Pb214,351.93,347.012,357.854,,,Linear
  410.14,     379.5,  60.9     ,6.3835e-004, 1.23,  0.30%,   1.07,   10354.0,  16,  ,594479.500,,,,,406.2,419.075,,,Linear
