Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV
   75.98,   10516.1,  338.2    ,1.7861e-002, 4.31,  5.67%,  64.68,  127397.0,  1,  ,588791.750,,,,,60.6338,92.4783
   93.30,    2196.6,  123.3    ,3.7307e-003, 1.60,  1.71%,  16.23,   42792.0,  2,  ,588791.750,,,,,88.4131,99.2538
  186.35,    3267.8,  126.0    ,5.5500e-003, 1.60,  0.86%,   2.53,   46074.0,  3,  ,588791.750,,,Ra226,186.21,179.883,191.402
  209.60,    2088.0,  137.5    ,3.5462e-003, 1.50,  0.72%,   1.62,   36356.0,  4,  ,588791.750,,,,,205.631,215.794
  239.01,   19546.1,  175.1    ,3.3197e-002, 1.48,  0.62%,  67.86,   83404.0,  5,  ,588791.750,,,Th232,238.63,229.346,248.996
  242.11,    4471.6,  113.0    ,7.5946e-003, 1.44,  0.60%,  67.86,   83404.0,  6,  ,588791.750,,,Ra226,242.00,229.346,248.996
  270.56,    1818.5,  95.9     ,3.0885e-003, 1.45,  0.54%,   1.40,   30867.8,  7,  ,588791.750,,,,,265.147,276.777
  295.61,    6801.9,  126.5    ,1.1552e-002, 1.60,  0.54%,  45.88,   27151.0,  8,  ,588791.750,,,,,290.329,299.815
  334.32,    4651.4,  110.3    ,7.8998e-003, 1.44,  0.43%,  72.54,   19745.4,  9,  ,588791.750,,,,,329.63,337.761
  338.83,    3966.5,  93.2     ,6.7367e-003, 1.09,  0.32%,   0.77,   20360.0,  10,  ,588791.750,,,,,335.051,344.247
  352.44,   11260.1,  126.5    ,1.9124e-002, 1.15,  0.33%,   1.13,   29144.2,  11,  ,588791.750,,,,,347.012,357.854
  410.14,     558.2,  82.3     ,9.4806e-004, 1.22,  0.30%,   0.85,   17397.0,  12,  ,588791.750,,,,,406.2,419.075
  463.60,    1313.8,  66.5     ,2.2314e-003, 1.35,  0.29%,   1.17,   13058.7,  13,  ,588791.750,,,,,458.175,469.017
  511.48,   10493.8,  125.8    ,1.7823e-002, 2.44,  0.48%,   2.06,   28326.0,  14,  ,588791.750,,,,,501.747,521.399
  583.71,    6295.0,  93.3     ,1.0691e-002, 1.29,  0.22%,   1.13,   14019.9,  15,  ,588791.750,,,Th232,583.19,578.282,589.125
  609.87,    8387.4,  104.1    ,1.4245e-002, 1.31,  0.21%,   0.52,   15807.0,  16,  ,588791.750,,,Bi214,609.31,604.446,615.289
  662.30,   14351.2,  131.2    ,2.4374e-002, 1.60,  0.24%,  18.31,   25024.0,  17,  ,588791.750,,,Cs137,661.66,654.222,671.842
  728.00,    1450.2,  55.9     ,2.4631e-003, 1.38,  0.19%,   0.44,    7202.7,  18,  ,588791.750,,,,,722.563,733.406
  769.10,     683.6,  47.8     ,1.1610e-003, 1.60,  0.21%,   2.26,   10948.0,  19,  ,588791.750,,,,,759.265,778.919
  795.64,     694.2,  45.5     ,1.1790e-003, 1.34,  0.17%,   0.69,    5896.3,  20,  ,588791.750,,,,,790.225,801.067
  861.32,     724.8,  47.1     ,1.2309e-003, 1.60,  0.19%,   1.22,    8158.0,  21,  ,588791.750,,,,,851.435,867.701
  911.85,    4564.8,  79.5     ,7.7529e-003, 1.53,  0.17%,   1.07,    9640.0,  22,  ,588791.750,,,Th232,911.20,905.654,917.268
  934.78,     491.7,  43.4     ,8.3505e-004, 1.62,  0.17%,   0.91,    7913.0,  23,  ,588791.750,,,,,926.665,943.609
  950.08,     703.3,  62.4     ,1.1945e-003, 3.34,  0.35%,   0.95,    8167.0,  24,  ,588791.750,,,,,940.22,957.841
  965.28,     759.0,  53.5     ,1.2891e-003, 1.52,  0.16%,   1.10,    4250.5,  25,  ,588791.750,,,,,959.875,967.565
  969.54,    2317.9,  74.7     ,3.9367e-003, 1.48,  0.15%,   3.23,    6561.9,  26,  ,588791.750,,,Th232,968.97,965.975,974.956
 1120.72,    2065.2,  63.9     ,3.5076e-003, 1.70,  0.15%,   0.65,    7834.4,  27,  ,588791.750,,,Bi214,1120.29,1114.94,1126.5
 1238.84,     839.4,  56.3     ,1.4257e-003, 1.91,  0.15%,   0.87,    8804.8,  28,  ,588791.750,,,,,1231.95,1245.74
 1378.53,     510.5,  34.8     ,8.6706e-004, 1.65,  0.12%,   0.48,    2550.7,  29,  ,588791.750,,,,,1373.02,1384.03
 1408.76,     262.5,  29.0     ,4.4591e-004, 1.65,  0.12%,   0.99,    2157.0,  30,  ,588791.750,,,,,1402.49,1414.16
 1461.76,   65583.0,  258.6    ,1.1139e-001, 1.93,  0.13%,   4.40,   67668.7,  31,  ,588791.750,,,K40,1460.75,1455.19,1468.92
 1510.18,     228.3,  27.3     ,3.8781e-004, 2.28,  0.15%,   0.47,    2112.2,  32,  ,588791.750,,,,,1502.38,1519.76
 1589.02,     418.6,  31.7     ,7.1098e-004, 2.11,  0.13%,   0.90,    1922.0,  33,  ,588791.750,,,,,1584.84,1597.72
 1593.56,     335.8,  30.2     ,5.7033e-004, 2.20,  0.14%,   0.90,    1922.0,  34,  ,588791.750,,,,,1584.84,1597.72
 1621.53,     233.4,  30.2     ,3.9641e-004, 2.16,  0.13%,   0.82,    1524.6,  35,  ,588791.750,,,,,1613.99,1629.58
 1631.38,     202.7,  26.3     ,3.4421e-004, 1.72,  0.11%,   0.76,    1247.1,  36,  ,588791.750,,,Bi214,1636.30,1625.77,1638.4
 1662.22,     157.7,  23.2     ,2.6787e-004, 2.45,  0.15%,   0.75,    1701.0,  37,  ,588791.750,,,Bi214,1661.28,1651.96,1671.62
 1730.40,     407.2,  26.9     ,6.9166e-004, 1.95,  0.11%,   0.63,    1305.1,  38,  ,588791.750,,,Bi214,1729.59,1723.81,1737
 1765.44,    1971.5,  49.1     ,3.3483e-003, 2.17,  0.12%,   1.22,    3014.4,  39,  ,588791.750,,,Bi214,1764.49,1758.07,1772.81
 1848.56,     203.6,  29.7     ,3.4585e-004, 2.25,  0.12%,   1.28,    1750.0,  40,  ,588791.750,,,Bi214,1847.42,1833.65,1856.7
 2104.30,     413.2,  28.3     ,7.0184e-004, 3.14,  0.15%,   0.92,    1636.0,  41,  ,588791.750,,,,,2093.33,2115.7
 2119.40,     157.4,  20.5     ,2.6738e-004, 2.40,  0.11%,   0.94,    1209.0,  42,  ,588791.750,,,Bi214,2118.55,2109.6,2129.26
 2204.59,     591.1,  30.8     ,1.0040e-003, 2.65,  0.12%,   0.83,    1393.0,  43,  ,588791.750,,,Bi214,2204.21,2198.42,2214.7
 2448.69,     189.8,  20.5     ,3.2236e-004, 2.31,  0.09%,   1.62,     738.0,  44,  ,588791.750,,,Bi214,2447.86,2443.9,2458.81
 2615.81,    3824.9,  64.8     ,6.4961e-003, 2.66,  0.10%,   2.09,    4195.0,  45,  ,588791.750,,,Tl208,2614.53,2605.97,2625.64
