Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
  911.20,   11576.3,  123.8    ,9.6829e-003, 1.50,  0.16%,   0.53,   19373.3,  35,  ,1195547.125,,,Ac228,911.20,905.083,916.694,,,Linear
  934.06,     815.3,  62.3     ,6.8196e-004, 1.65,  0.18%,   1.91,   11775.2,  36,  ,1195547.125,,,Bi214,934.06,926.088,943.028,,,Linear
  949.71,     533.0,  68.7     ,4.4583e-004, 3.16,  0.33%,   1.24,   14168.7,  37,  ,1195547.125,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  964.60,    1760.1,  88.4     ,1.4722e-003, 1.50,  0.16%,   1.03,    7046.1,  38,  ,1195547.125,,,Ac228,964.77,959.29,966.978,,,Linear
  968.90,    6406.4,  108.0    ,5.3586e-003, 1.48,  0.15%,   6.47,   12798.0,  39,  ,1195547.125,,,Ac228,968.97,965.388,974.367,,,Linear
 1001.08,     311.5,  56.9     ,2.6056e-004, 1.29,  0.13%,   1.05,    7963.0,  40,  ,1195547.125,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.06,    3889.1,  79.4     ,3.2530e-003, 1.74,  0.16%,   1.70,   40602.6,  41,  ,1195547.125,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1155.03,     416.8,  52.9     ,3.4862e-004, 1.84,  0.16%,   0.90,    9372.7,  42,  ,1195547.125,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.04,    1546.2,  80.0     ,1.2933e-003, 1.95,  0.16%,   1.02,   11152.2,  43,  ,1195547.125,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1280.77,     452.4,  71.0     ,3.7844e-004, 2.15,  0.17%,   1.68,    6614.2,  44,  ,1195547.125,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1377.71,     992.4,  53.8     ,8.3006e-004, 1.68,  0.12%,   1.06,    4382.2,  45,  ,1195547.125,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1408.27,     422.2,  47.4     ,3.5317e-004, 1.74,  0.12%,   4.50,    3906.6,  46,  ,1195547.125,,,Bi214,1407.98,1401.82,1413.49,,,Linear
 1460.97,   59854.2,  249.2    ,5.0064e-002, 1.90,  0.13%,   4.22,   63379.7,  47,  ,1195547.125,,,K40,1460.75,1454.51,1468.24,,,Linear
 1509.40,     460.8,  42.1     ,3.8545e-004, 1.84,  0.12%,   2.56,    4420.3,  48,  ,1195547.125,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1588.25,     924.9,  50.8     ,7.7360e-004, 1.71,  0.11%,   1.42,    4293.5,  49,  ,1195547.125,,,Ac228,1588.20,1584.15,1597.03,,,Quardratic
