Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
  911.52,   10495.0,  119.9    ,8.7784e-003, 1.50,  0.16%,  92.72,   19421.9,  35,  ,1195547.125,,,Ac228,911.20,905.083,916.694,,,Linear
  934.41,     804.6,  62.7     ,6.7299e-004, 1.67,  0.18%,   2.73,   11727.1,  36,  ,1195547.125,,,Bi214,934.06,926.088,943.028,,,Linear
  950.31,     532.2,  85.1     ,4.4512e-004, 3.16,  0.33%,   1.37,   14162.9,  37,  ,1195547.125,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  964.92,    1539.6,  91.9     ,1.2878e-003, 1.46,  0.15%,  17.80,    6993.8,  38,  ,1195547.125,,,Ac228,964.77,959.29,966.978,,,Linear
  969.21,    5542.4,  103.4    ,4.6359e-003, 1.41,  0.15%,  113.59,   13250.6,  39,  ,1195547.125,,,Ac228,968.97,965.388,974.367,,,Linear
 1001.35,     294.8,  61.2     ,2.4658e-004, 1.38,  0.14%,   1.94,    7926.8,  40,  ,1195547.125,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.43,    3687.8,  84.9     ,3.0846e-003, 1.78,  0.16%,   4.23,   40605.0,  41,  ,1195547.125,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1155.42,     465.9,  74.1     ,3.8969e-004, 2.25,  0.19%,   1.17,    9360.2,  42,  ,1195547.125,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.45,    1475.8,  79.5     ,1.2344e-003, 1.91,  0.15%,   2.87,   11173.5,  43,  ,1195547.125,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1281.23,     456.6,  69.6     ,3.8191e-004, 2.26,  0.18%,   1.53,    6600.6,  44,  ,1195547.125,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1378.07,     913.3,  53.8     ,7.6394e-004, 1.67,  0.12%,   6.42,    4399.3,  45,  ,1195547.125,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1408.64,     361.0,  44.4     ,3.0198e-004, 1.55,  0.11%,   8.24,    3995.5,  46,  ,1195547.125,,,Bi214,1407.98,1401.82,1413.49,,,Linear
 1461.37,   54028.8,  236.9    ,4.5192e-002, 1.85,  0.13%,  415.05,   63364.8,  47,  ,1195547.125,,,K40,1460.75,1454.51,1468.24,,,Linear
 1509.79,     449.1,  42.1     ,3.7564e-004, 1.99,  0.13%,   3.38,    4445.5,  48,  ,1195547.125,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1588.61,     876.6,  82.6     ,7.3321e-004, 1.82,  0.11%,   8.94,    4338.6,  49,  ,1195547.125,,,Ac228,1588.20,1584.15,1597.03,,,Quardratic
 1593.08,     657.6,  87.9     ,5.5008e-004, 1.90,  0.12%,   8.94,    4338.6,  50,  ,1195547.125,,,Tl208 (D.E.),1592.54,1584.15,1597.03,,,Quardratic
