Start Time, Mon Feb 21 2022 15:08:06 GMT+0000 (GMT)
Energy calibration,  Offset:-0.8944737974038629, Slope: 0.6777130311079765
Live Time (s), 1204602.5
Real Time (s), 1209121.82
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.2167607662958864, 548
2, 0.4609522648120902, 252440
3, 1.1386652959200667, 355732
4, 1.8163783270280431, 35744
5, 2.4940913581360196, 9180
6, 3.1718043892439964, 22465
7, 3.8495174203519729, 26966
8, 4.5272304514599497, 32992
9, 5.2049434825679262, 35433
10, 5.8826565136759026, 35619
11, 6.5603695447838790, 35087
12, 7.2380825758918563, 34540
13, 7.9157956069998319, 47063
14, 8.5935086381078083, 143154
15, 9.2712216692157838, 87322
16, 9.9489347003237611, 39270
17, 10.6266477314317385, 20284
18, 11.3043607625397140, 13911
19, 11.9820737936476913, 8911
20, 12.6597868247556669, 7940
21, 13.3374998558636442, 7634
22, 14.0152128869716197, 7131
23, 14.6929259180795970, 6789
24, 15.3706389491875743, 6709
25, 16.0483519802955534, 6325
26, 16.7260650114035272, 6058
27, 17.4037780425115045, 6093
28, 18.0814910736194818, 5852
29, 18.7592041047274591, 5968
30, 19.4369171358354329, 5632
31, 20.1146301669434102, 5524
32, 20.7923431980513875, 5349
33, 21.4700562291593648, 5377
34, 22.1477692602673422, 5255
35, 22.8254822913753159, 5135
36, 23.5031953224832932, 5049
37, 24.1809083535912706, 4950
38, 24.8586213846992479, 4870
39, 25.5363344158072216, 4853
40, 26.2140474469151989, 4822
41, 26.8917604780231763, 4759
42, 27.5694735091311536, 4767
43, 28.2471865402391309, 4654
44, 28.9248995713471047, 4636
45, 29.6026126024550820, 4405
46, 30.2803256335630593, 4458
47, 30.9580386646710366, 4350
48, 31.6357516957790139, 4314
49, 32.3134647268869912, 4452
50, 32.9911777579949685, 4304
51, 33.6688907891029388, 4323
52, 34.3466038202109161, 4149
53, 35.0243168513188934, 4261
54, 35.7020298824268707, 4175
55, 36.3797429135348480, 4136
56, 37.0574559446428253, 4120
57, 37.7351689757508026, 4121
58, 38.4128820068587800, 3950
59, 39.0905950379667573, 3995
60, 39.7683080690747275, 4120
61, 40.4460211001827048, 3997
62, 41.1237341312906821, 3988
63, 41.8014471623986594, 3881
64, 42.4791601935066367, 3988
65, 43.1568732246146141, 3911
66, 43.8345862557225914, 3944
67, 44.5122992868305687, 3903
68, 45.1900123179385460, 3882
69, 45.8677253490465162, 3810
70, 46.5454383801544935, 3880
71, 47.2231514112624708, 3894
72, 47.9008644423704482, 3705
73, 48.5785774734784255, 3829
74, 49.2562905045864028, 3756
75, 49.9340035356943801, 3789
76, 50.6117165668023574, 3887
77, 51.2894295979103347, 3835
78, 51.9671426290183049, 3812
79, 52.6448556601262823, 3973
80, 53.3225686912342596, 3958
81, 54.0002817223422369, 3819
82, 54.6779947534502142, 3794
83, 55.3557077845581915, 3861
84, 56.0334208156661688, 3846
85, 56.7111338467741461, 3793
86, 57.3888468778821235, 3919
87, 58.0665599089900937, 3943
88, 58.7442729400980710, 4527
89, 59.4219859712060483, 4286
90, 60.0996990023140256, 3861
91, 60.7774120334220029, 3914
92, 61.4551250645299802, 3913
93, 62.1328380956379576, 4308
94, 62.8105511267459349, 4730
95, 63.4882641578539051, 4385
96, 64.1659771889618895, 4033
97, 64.8436902200698597, 4106
98, 65.5214032511778441, 4171
99, 66.1991162822858143, 4238
100, 66.8768293133937988, 4258
101, 67.5545423445017690, 4161
102, 68.2322553756097392, 4332
103, 68.9099684067177236, 4426
104, 69.5876814378256938, 4422
105, 70.2653944689336782, 4496
106, 70.9431075000416484, 4504
107, 71.6208205311496329, 4990
108, 72.2985335622576031, 5852
109, 72.9762465933655875, 4986
110, 73.6539596244735577, 7186
111, 74.3316726555815279, 12450
112, 75.0093856866895123, 6675
113, 75.6870987177974825, 6086
114, 76.3648117489054670, 14200
115, 77.0425247800134372, 9617
116, 77.7202378111214216, 4504
117, 78.3979508422293918, 4433
118, 79.0756638733373762, 4595
119, 79.7533769044453464, 4460
120, 80.4310899355533166, 4685
121, 81.1088029666613011, 4651
122, 81.7865159977692713, 4376
123, 82.4642290288772557, 4654
124, 83.1419420599852259, 5747
125, 83.8196550910932103, 6529
126, 84.4973681222011805, 5806
127, 85.1750811533091650, 4855
128, 85.8527941844171352, 5896
129, 86.5305072155251054, 8939
130, 87.2082202466330898, 7033
131, 87.8859332777410600, 4562
132, 88.5636463088490444, 5120
133, 89.2413593399570146, 7242
134, 89.9190723710649991, 5893
135, 90.5967854021729693, 4462
136, 91.2744984332809537, 5073
137, 91.9522114643889239, 7511
138, 92.6299244954968941, 7955
139, 93.3076375266048785, 5983
140, 93.9853505577128487, 4854
141, 94.6630635888208332, 4642
142, 95.3407766199288034, 4359
143, 96.0184896510367878, 4430
144, 96.6962026821447580, 4386
145, 97.3739157132527424, 4558
146, 98.0516287443607126, 4718
147, 98.7293417754686828, 5072
148, 99.4070548065766673, 4831
149, 100.0847678376846375, 4460
150, 100.7624808687926219, 4407
151, 101.4401938999005921, 4389
152, 102.1179069310085765, 4572
153, 102.7956199621165467, 4527
154, 103.4733329932245312, 4680
155, 104.1510460243325014, 4991
156, 104.8287590554404716, 5356
157, 105.5064720865484560, 4998
158, 106.1841851176564262, 4660
159, 106.8618981487644106, 4564
160, 107.5396111798723808, 4822
161, 108.2173242109803653, 4917
162, 108.8950372420883355, 4832
163, 109.5727502731963199, 4760
164, 110.2504633043042901, 4886
165, 110.9281763354122603, 4815
166, 111.6058893665202447, 4734
