Start Time, Mon Feb 21 2022 15:08:06 GMT+0000 (GMT)
Energy calibration,  Offset:-0.8944737974038629, Slope: 0.6777130311079765
Live Time (s), 1204602.5
Real Time (s), 1209121.82
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.2167607662958864, 332
2, 0.4609522648120902, 112746
3, 1.1386652959200667, 243470
4, 1.8163783270280431, 43607
5, 2.4940913581360196, 10564
6, 3.1718043892439964, 16856
7, 3.8495174203519729, 20782
8, 4.5272304514599497, 27604
9, 5.2049434825679262, 31662
10, 5.8826565136759026, 31969
11, 6.5603695447838790, 31545
12, 7.2380825758918563, 30676
13, 7.9157956069998319, 44681
14, 8.5935086381078083, 144204
15, 9.2712216692157838, 84017
16, 9.9489347003237611, 35603
17, 10.6266477314317385, 16842
18, 11.3043607625397140, 10664
19, 11.9820737936476913, 5934
20, 12.6597868247556669, 5097
21, 13.3374998558636442, 4775
22, 14.0152128869716197, 4466
23, 14.6929259180795970, 4075
24, 15.3706389491875743, 4134
25, 16.0483519802955534, 3886
26, 16.7260650114035272, 3788
27, 17.4037780425115045, 3709
28, 18.0814910736194818, 3478
29, 18.7592041047274591, 3512
30, 19.4369171358354329, 3437
31, 20.1146301669434102, 3342
32, 20.7923431980513875, 3301
33, 21.4700562291593648, 3214
34, 22.1477692602673422, 3113
35, 22.8254822913753159, 3129
36, 23.5031953224832932, 3120
37, 24.1809083535912706, 3025
38, 24.8586213846992479, 2945
39, 25.5363344158072216, 2999
40, 26.2140474469151989, 2939
41, 26.8917604780231763, 2872
42, 27.5694735091311536, 2913
43, 28.2471865402391309, 2720
44, 28.9248995713471047, 2758
45, 29.6026126024550820, 2731
46, 30.2803256335630593, 2775
47, 30.9580386646710366, 2710
48, 31.6357516957790139, 2697
49, 32.3134647268869912, 2757
50, 32.9911777579949685, 2617
51, 33.6688907891029388, 2568
52, 34.3466038202109161, 2650
53, 35.0243168513188934, 2626
54, 35.7020298824268707, 2608
55, 36.3797429135348480, 2655
56, 37.0574559446428253, 2541
57, 37.7351689757508026, 2501
58, 38.4128820068587800, 2514
59, 39.0905950379667573, 2501
60, 39.7683080690747275, 2435
61, 40.4460211001827048, 2396
62, 41.1237341312906821, 2388
63, 41.8014471623986594, 2459
64, 42.4791601935066367, 2426
65, 43.1568732246146141, 2347
66, 43.8345862557225914, 2343
67, 44.5122992868305687, 2423
68, 45.1900123179385460, 2315
69, 45.8677253490465162, 2421
70, 46.5454383801544935, 2381
71, 47.2231514112624708, 2355
72, 47.9008644423704482, 2371
73, 48.5785774734784255, 2360
74, 49.2562905045864028, 2272
75, 49.9340035356943801, 2317
76, 50.6117165668023574, 2334
77, 51.2894295979103347, 2225
78, 51.9671426290183049, 2305
79, 52.6448556601262823, 2305
80, 53.3225686912342596, 2375
81, 54.0002817223422369, 2232
82, 54.6779947534502142, 2305
83, 55.3557077845581915, 2274
84, 56.0334208156661688, 2312
85, 56.7111338467741461, 2258
86, 57.3888468778821235, 2253
87, 58.0665599089900937, 2277
88, 58.7442729400980710, 2291
89, 59.4219859712060483, 2270
90, 60.0996990023140256, 2317
91, 60.7774120334220029, 2342
92, 61.4551250645299802, 2195
93, 62.1328380956379576, 2340
94, 62.8105511267459349, 2280
95, 63.4882641578539051, 2419
96, 64.1659771889618895, 2388
97, 64.8436902200698597, 2327
98, 65.5214032511778441, 2432
99, 66.1991162822858143, 2464
100, 66.8768293133937988, 2226
101, 67.5545423445017690, 2346
102, 68.2322553756097392, 2301
103, 68.9099684067177236, 2370
104, 69.5876814378256938, 2440
105, 70.2653944689336782, 2413
106, 70.9431075000416484, 2444
107, 71.6208205311496329, 2731
108, 72.2985335622576031, 3248
109, 72.9762465933655875, 2600
110, 73.6539596244735577, 2885
111, 74.3316726555815279, 4212
112, 75.0093856866895123, 3003
113, 75.6870987177974825, 2542
114, 76.3648117489054670, 2882
115, 77.0425247800134372, 2756
116, 77.7202378111214216, 2371
117, 78.3979508422293918, 2474
118, 79.0756638733373762, 2466
119, 79.7533769044453464, 2510
120, 80.4310899355533166, 2388
121, 81.1088029666613011, 2465
122, 81.7865159977692713, 2446
123, 82.4642290288772557, 2504
124, 83.1419420599852259, 2674
125, 83.8196550910932103, 3294
126, 84.4973681222011805, 3561
127, 85.1750811533091650, 2718
128, 85.8527941844171352, 2711
129, 86.5305072155251054, 3067
130, 87.2082202466330898, 2868
131, 87.8859332777410600, 2502
132, 88.5636463088490444, 2521
133, 89.2413593399570146, 2666
134, 89.9190723710649991, 2498
135, 90.5967854021729693, 2426
136, 91.2744984332809537, 2564
137, 91.9522114643889239, 2561
138, 92.6299244954968941, 2677
139, 93.3076375266048785, 2623
140, 93.9853505577128487, 2579
141, 94.6630635888208332, 2667
142, 95.3407766199288034, 2655
143, 96.0184896510367878, 2609
144, 96.6962026821447580, 2732
145, 97.3739157132527424, 2653
146, 98.0516287443607126, 2749
147, 98.7293417754686828, 2727
148, 99.4070548065766673, 2770
149, 100.0847678376846375, 2774
150, 100.7624808687926219, 2731
151, 101.4401938999005921, 2771
152, 102.1179069310085765, 2902
153, 102.7956199621165467, 2852
154, 103.4733329932245312, 2815
155, 104.1510460243325014, 2870
156, 104.8287590554404716, 3034
157, 105.5064720865484560, 2934
158, 106.1841851176564262, 2936
159, 106.8618981487644106, 3008
160, 107.5396111798723808, 2915
161, 108.2173242109803653, 3127
162, 108.8950372420883355, 3011
163, 109.5727502731963199, 3100
164, 110.2504633043042901, 3094
165, 110.9281763354122603, 3128
166, 111.6058893665202447, 3091
