Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.87,     587.5,  78.0     ,9.8819e-004, 0.66,  1.10%,   0.71,   26261.8,  1,  ,594479.500,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.76,     254.7,  72.8     ,4.2847e-004, 0.57,  0.89%,   0.71,   26261.8,  2,  ,594479.500,,,Th234,63.29,54.2815,67.8258,,,Linear
   75.14,    2874.0,  93.7     ,4.8344e-003, 0.91,  1.21%,  11.13,   42952.3,  3,  ,594479.500,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.38,    3473.3,  97.5     ,5.8426e-003, 0.90,  1.16%,  11.13,   42952.3,  4,  ,594479.500,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.29,    1683.7,  120.9    ,2.8323e-003, 1.27,  1.36%,  11.05,   13377.2,  5,  ,594479.500,,,Th234,92.80,90.847,96.1583,,,Constant
   99.85,     117.9,  63.2     ,1.9838e-004, 0.55,  0.56%,   1.09,   14592.3,  6,  ,594479.500,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.76,     304.2,  54.8     ,5.1170e-004, 0.63,  0.60%,   1.50,   32847.6,  7,  ,594479.500,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.31,     534.7,  83.5     ,8.9944e-004, 0.71,  0.55%,   1.25,   25081.6,  8,  ,594479.500,,,Ac228,129.06,123.714,133.517,,,Linear
  154.27,     250.1,  53.1     ,4.2068e-004, 0.35,  0.23%,   1.35,   33867.6,  9,  ,594479.500,,,Ac228,153.98,147.322,161.047,,,Linear
  186.38,    2130.5,  106.7    ,3.5839e-003, 1.20,  0.65%,   1.01,   28001.0,  10,  ,594479.500,,,Ra226,186.21,179.57,191.084,,,Linear
  209.63,    1082.8,  92.5     ,1.8214e-003, 0.96,  0.46%,   0.48,   21764.7,  11,  ,594479.500,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  239.04,   12892.2,  135.8    ,2.1687e-002, 1.01,  0.42%,   3.18,   51191.7,  12,  ,594479.500,,,Pb212,238.63,229.011,248.653,,,Linear
  242.06,    3056.9,  106.0    ,5.1421e-003, 1.56,  0.64%,   3.18,   51191.7,  13,  ,594479.500,,,Pb214,242.00,229.011,248.653,,,Linear
  270.60,    1222.2,  86.2     ,2.0560e-003, 1.31,  0.48%,   1.05,   17994.7,  14,  ,594479.500,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  277.76,     549.4,  71.6     ,9.2409e-004, 1.06,  0.38%,   2.30,   15110.7,  15,  ,594479.500,,,Tl208,277.36,272.712,283.138,#9933ff,,Linear
  295.66,    4416.1,  87.9     ,7.4284e-003, 1.05,  0.35%,   0.77,   16660.5,  16,  ,594479.500,,,Pb214,295.24,289.968,299.45,#9933ff,,Linear
  300.52,     836.0,  106.1    ,1.4062e-003, 1.02,  0.34%,   2.01,    5712.9,  17,  ,594479.500,,,Pb212,300.09,298.096,301.935,,,Linear
  328.51,     601.4,  65.3     ,1.0117e-003, 1.02,  0.31%,   1.95,   15742.0,  18,  ,594479.500,,,Ac228,328.00,318.788,332.34,#00b9ff,,Linear
  338.86,    2405.4,  75.3     ,4.0462e-003, 0.98,  0.29%,  45.93,   35970.5,  19,  ,594479.500,,,Ac228,338.32,316.171,343.864,,,Linear
  352.48,    7724.5,  107.2    ,1.2994e-002, 1.12,  0.32%,   1.33,   18177.9,  20,  ,594479.500,,,Pb214,351.93,346.628,357.466,,,Linear
  410.14,     375.3,  58.8     ,6.3136e-004, 1.22,  0.30%,   1.08,   10374.2,  21,  ,594479.500,,,Ac228,409.46,405.792,418.662,#00b9ff,,Linear
  439.51,     265.4,  60.6     ,4.4640e-004, 1.58,  0.36%,   0.63,    9920.2,  22,  ,594479.500,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.60,     859.6,  59.7     ,1.4460e-003, 1.23,  0.27%,   0.50,    7755.0,  23,  ,594479.500,,,Ac228,463.00,457.747,468.585,,,Linear
  511.51,    5713.7,  97.0     ,9.6112e-003, 2.41,  0.47%,   1.70,   27107.4,  24,  ,594479.500,,,,,490.007,530.631,,,Linear
  583.76,    4393.0,  79.0     ,7.3896e-003, 1.21,  0.21%,   1.65,    9026.3,  25,  ,594479.500,,,Tl208,583.19,577.811,588.65,,,Linear
  609.94,    5764.8,  88.4     ,9.6972e-003, 1.34,  0.22%,   1.27,   10094.9,  26,  ,594479.500,,,Bi214,609.31,603.966,614.805,,,Linear
  662.37,   10684.5,  110.8    ,1.7973e-002, 1.48,  0.22%,   6.24,   16771.4,  27,  ,594479.500,,,Cs137,661.66,653.725,670.878,,,Linear
  666.39,     173.6,  35.0     ,2.9207e-004, 1.42,  0.21%,   6.24,   16771.4,  28,  ,594479.500,,,Bi214,665.45,653.725,670.878,#9933FF,,Linear
  728.09,     947.1,  49.8     ,1.5932e-003, 1.36,  0.19%,   0.79,    4371.4,  29,  ,594479.500,,,Bi212,727.33,722.044,732.884,,,Linear
  755.76,      94.7,  36.0     ,1.5930e-004, 1.55,  0.20%,   0.90,    4215.5,  30,  ,594479.500,,,Ac228,755.32,748.97,762.8,,,Linear
  769.17,     538.2,  42.4     ,9.0531e-004, 1.37,  0.18%,   1.46,    6513.5,  31,  ,594479.500,,,Bi214,768.36,758.735,778.383,,,Linear
  772.98,     130.8,  34.9     ,2.1996e-004, 1.01,  0.13%,   1.46,    6513.5,  32,  ,594479.500,,,Ac228,772.29,758.735,778.383,#00b9ff,,Linear
  786.57,     224.1,  33.4     ,3.7703e-004, 1.15,  0.15%,   0.92,    5215.3,  33,  ,594479.500,,,Pa234m,786.25,776.35,793.966,,,Linear
  795.61,     471.8,  42.4     ,7.9370e-004, 1.34,  0.17%,   0.69,    3471.9,  34,  ,594479.500,,,Ac228,794.95,789.686,800.525,,,Linear
  836.34,     178.7,  34.0     ,3.0064e-004, 1.42,  0.17%,   1.32,    6496.6,  35,  ,594479.500,,,Ac228,835.71,825.81,848.606,,,Linear
  840.76,      91.1,  37.5     ,1.5329e-004, 1.76,  0.21%,   2.17,    6307.8,  36,  ,594479.500,,,Ac228,840.38,826.931,849.041,,,Linear
  861.30,     567.2,  41.6     ,9.5418e-004, 1.51,  0.18%,   1.53,    4602.6,  37,  ,594479.500,,,Tl208,860.56,850.878,867.14,,,Linear
  911.92,    3161.7,  67.9     ,5.3184e-003, 1.51,  0.17%,   1.54,    6116.4,  38,  ,594479.500,,,Ac228,911.20,905.083,916.694,,,Linear
  934.77,     295.1,  37.9     ,4.9636e-004, 1.61,  0.17%,   1.09,    4480.7,  39,  ,594479.500,,,Bi214,934.06,926.088,943.028,,,Linear
  950.32,     298.6,  48.8     ,5.0235e-004, 2.85,  0.30%,   0.78,    5626.0,  40,  ,594479.500,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  965.37,     568.4,  73.1     ,9.5606e-004, 1.47,  0.15%,   0.79,    2557.4,  41,  ,594479.500,,,Ac228,964.77,959.29,966.899,,,Linear
  969.62,    1705.0,  56.7     ,2.8681e-003, 1.51,  0.16%,  15.07,    6395.2,  42,  ,594479.500,,,Ac228,968.97,958.792,974.367,,,Linear
 1001.37,      80.8,  23.9     ,1.3595e-004, 1.04,  0.10%,   1.70,    3047.0,  43,  ,594479.500,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.97,    1182.3,  51.6     ,1.9888e-003, 1.73,  0.15%,   1.63,   17408.8,  44,  ,594479.500,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1155.58,     218.1,  40.7     ,3.6679e-004, 1.65,  0.14%,   1.10,    4063.3,  45,  ,594479.500,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.94,     576.4,  52.4     ,9.6963e-004, 1.92,  0.15%,   1.26,    5193.2,  46,  ,594479.500,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1281.79,      95.0,  31.3     ,1.5977e-004, 1.46,  0.11%,   0.95,    2841.2,  47,  ,594479.500,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1378.67,     307.2,  29.7     ,5.1673e-004, 1.70,  0.12%,   1.89,    1377.7,  48,  ,594479.500,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1409.12,     168.5,  30.8     ,2.8343e-004, 2.02,  0.14%,   1.70,    1364.5,  49,  ,594479.500,,,Bi214,1407.98,1401.82,1413.49,,,Linear
 1461.86,   36735.1,  193.7    ,6.1794e-002, 1.95,  0.13%,   2.14,   37886.3,  50,  ,594479.500,,,K40,1460.75,1454.51,1468.24,,,Linear
 1510.24,     164.5,  23.2     ,2.7671e-004, 1.95,  0.13%,   1.53,    1246.4,  51,  ,594479.500,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1588.95,     262.2,  25.5     ,4.4107e-004, 1.78,  0.11%,   1.34,    3199.0,  52,  ,594479.500,,,Ac228,1588.20,1547.55,1597.03,,,Quardratic
 1593.44,     202.0,  28.7     ,3.3978e-004, 2.03,  0.13%,   1.34,    3199.0,  53,  ,594479.500,,,Tl208 (D.E.),-371.90,1547.55,1597.03,,,Quardratic
 1621.55,     121.1,  19.5     ,2.0373e-004, 1.70,  0.10%,   2.13,     910.2,  54,  ,594479.500,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1631.48,     146.6,  23.4     ,2.4663e-004, 2.40,  0.15%,   2.53,     748.1,  55,  ,594479.500,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1661.86,      60.7,  12.8     ,1.0205e-004, 1.18,  0.07%,   1.15,     933.2,  56,  ,594479.500,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1730.54,     243.8,  23.5     ,4.1003e-004, 1.92,  0.11%,   1.27,     803.2,  57,  ,594479.500,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1765.60,    1237.7,  39.3     ,2.0820e-003, 2.15,  0.12%,   0.78,    1761.1,  58,  ,594479.500,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1848.36,     170.5,  21.9     ,2.8685e-004, 2.51,  0.14%,   1.17,     979.5,  59,  ,594479.500,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2104.49,     305.1,  25.4     ,5.1324e-004, 3.04,  0.14%,   1.07,    1021.7,  60,  ,594479.500,,,Tl208 (S.E.),674.20,2092.62,2114.99,,,Linear
 2119.93,      81.4,  21.5     ,1.3696e-004, 3.23,  0.15%,   0.81,     700.0,  61,  ,594479.500,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2204.82,     409.9,  25.4     ,6.8947e-004, 2.29,  0.10%,   0.98,     873.2,  62,  ,594479.500,,,Bi214,2204.21,2197.72,2214,,,Linear
 2448.95,      77.3,  17.2     ,1.3002e-004, 2.38,  0.10%,   1.32,     434.8,  63,  ,594479.500,,,Bi214,2447.86,2443.22,2458.13,,,Linear
 2615.85,    2381.7,  50.1     ,4.0064e-003, 2.64,  0.10%,   1.34,    2646.0,  64,  ,594479.500,,,Tl208,2614.53,2605.31,2624.99,,,Linear
