Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.58,     819.4,  84.8     ,1.1821e-003, 0.64,  1.07%,   2.11,   47939.9,  1,  ,693190.812,,,Am241,59.54,54.1507,65.6837,,,Linear
   63.16,     501.4,  161.5    ,7.2339e-004, 1.19,  1.88%,   0.95,   18889.8,  2,  ,693190.812,,,Th234,63.29,61.0023,65.5084,#9933ff,,Linear
   74.86,    6413.3,  136.1    ,9.2518e-003, 0.91,  1.21%,  46.62,  129239.9,  3,  ,693190.812,,,Pb212 (x-ray),74.82,60.2658,84.8941,#830808,,Linear
   77.04,    6778.0,  136.3    ,9.7780e-003, 0.78,  1.01%,  46.62,  129239.9,  4,  ,693190.812,,,Pb212 (x-ray),77.11,60.2658,84.8941,#830808,,Linear
   89.93,    1304.2,  85.8     ,1.8815e-003, 0.47,  0.52%,  47.15,  170883.1,  5,  ,693190.812,,,Bi214 (x-ray),89.81,79.4934,111.907,#006600,,Linear
   92.84,    3206.4,  135.6    ,4.6256e-003, 1.23,  1.33%,  10.36,   56491.6,  6,  ,693190.812,,,Th234,92.80,90.345,101.17,#9933ff,,Linear
  129.08,    1261.4,  135.8    ,1.8198e-003, 1.03,  0.80%,   1.02,   54315.2,  7,  ,693190.812,,,Ac228,129.06,123.605,133.409,#cc3333,,Linear
  153.95,     841.5,  226.9    ,1.2140e-003, 1.07,  0.69%,   0.77,   22743.2,  8,  ,693190.812,,,Ac228,153.98,152.372,156.435,#cc3333,,Linear
  185.97,    4284.9,  145.1    ,6.1814e-003, 1.13,  0.61%,   1.14,   60528.5,  9,  ,693190.812,,,Ra226,186.21,179.462,190.976,,,Linear
  209.25,    2196.9,  141.6    ,3.1692e-003, 0.69,  0.33%,   1.92,   46987.5,  10,  ,693190.812,,,Ac228,209.25,205.199,215.357,#cc3333,,Linear
  238.61,   28402.3,  199.7    ,4.0973e-002, 0.99,  0.41%,   8.17,  110253.0,  11,  ,693190.812,,,Pb212,238.63,228.903,248.545,#830808,,Linear
  241.65,    6972.5,  157.7    ,1.0059e-002, 1.62,  0.67%,   8.17,  110253.0,  12,  ,693190.812,,,Pb214,242.00,228.903,248.545,,,Linear
  270.21,    2612.1,  131.2    ,3.7682e-003, 1.39,  0.51%,   1.76,   39458.7,  13,  ,693190.812,,,Ac228,270.25,264.689,276.313,#cc3333,,Linear
  277.41,    1071.3,  91.7     ,1.5455e-003, 1.19,  0.43%,   1.34,   35425.5,  14,  ,693190.812,,,Tl208,277.36,271.697,282.848,#00b9ff,,Linear
  295.20,    9735.0,  144.4    ,1.4044e-002, 1.00,  0.34%,   1.04,   36344.8,  15,  ,693190.812,,,Pb214,295.24,289.859,299.341,,,Linear
  300.08,    1609.9,  130.5    ,2.3225e-003, 0.98,  0.33%,   1.13,   12909.4,  16,  ,693190.812,,,Pb212,300.09,297.987,302.051,#830808,,Linear
  328.07,    1432.7,  91.3     ,2.0668e-003, 1.29,  0.39%,   1.10,   23842.3,  17,  ,693190.812,,,Ac228,328.00,322.571,331.86,#cc3333,,Linear
  333.98,    5291.8,  128.4    ,7.6339e-003, 1.02,  0.30%,  34.22,   21716.7,  18,  ,693190.812,,,,,330.143,337.068,,,Linear
  338.39,    5975.0,  121.8    ,8.6195e-003, 1.09,  0.32%,   2.81,   27059.1,  19,  ,693190.812,,,Ac228,338.32,334.562,343.754,#cc3333,,Linear
  352.01,   17112.1,  158.3    ,2.4686e-002, 1.08,  0.31%,   0.93,   39660.5,  20,  ,693190.812,,,Pb214,351.93,346.517,357.355,,,Linear
  409.53,     687.4,  70.5     ,9.9164e-004, 1.40,  0.34%,   0.87,   32353.8,  21,  ,693190.812,,,Ac228,409.46,399.623,418.548,#cc3333,,Linear
  463.12,    1812.4,  86.9     ,2.6145e-003, 1.20,  0.26%,   1.10,   16806.3,  22,  ,693190.812,,,Ac228,463.00,457.631,468.468,#cc3333,,Linear
  510.96,   12437.9,  147.8    ,1.7943e-002, 2.35,  0.46%,   4.54,   35499.8,  23,  ,693190.812,,,,,501.184,521.433,,Annihilation,Linear
  583.21,    9609.2,  117.3    ,1.3862e-002, 1.29,  0.22%,   1.87,   19214.8,  24,  ,693190.812,,,Tl208,583.19,577.685,588.523,#00b9ff,,Linear
  609.37,   13278.6,  132.0    ,1.9156e-002, 1.31,  0.21%,   1.81,   22488.7,  25,  ,693190.812,,,Bi214,609.31,603.837,614.676,,,Linear
  661.79,   17820.2,  145.0    ,2.5708e-002, 1.49,  0.22%,   7.13,   31191.3,  26,  ,693190.812,,,Cs137,661.66,653.591,671.204,,,Linear
  665.56,     457.5,  50.6     ,6.6002e-004, 1.44,  0.22%,   7.13,   31191.3,  27,  ,693190.812,,,Bi214,665.45,653.591,671.204,#006600,,Linear
  727.40,    2179.0,  74.6     ,3.1435e-003, 1.45,  0.20%,   0.97,    9351.6,  28,  ,693190.812,,,Bi212,727.33,721.902,732.74,#ff66ff,,Linear
  768.52,    1024.2,  59.1     ,1.4776e-003, 1.27,  0.17%,   5.29,   13913.8,  29,  ,693190.812,,,Bi214,768.36,758.588,778.233,#006600,,Linear
  786.00,     620.7,  67.7     ,8.9538e-004, 1.79,  0.23%,   2.72,   11194.8,  30,  ,693190.812,,,Pa234m,786.25,776.2,793.813,#ff6633,,Linear
  795.07,    1086.8,  64.3     ,1.5679e-003, 1.48,  0.19%,   1.78,    7459.3,  31,  ,693190.812,,,Ac228,794.95,789.534,800.371,#cc3333,,Linear
  835.71,     298.1,  56.2     ,4.3007e-004, 1.28,  0.15%,   2.13,    8812.0,  32,  ,693190.812,,,Ac228,835.71,825.652,839.878,#cc3333,,Linear
  840.30,     313.5,  79.2     ,4.5225e-004, 1.79,  0.21%,   1.27,    3725.5,  33,  ,693190.812,,,Ac228,840.38,837.846,843.943,#cc3333,,Linear
  860.64,    1180.4,  60.4     ,1.7028e-003, 1.45,  0.17%,   0.86,   10296.1,  34,  ,693190.812,,,Tl208,860.56,850.717,866.976,#00b9ff,,Linear
  911.27,    6719.5,  98.7     ,9.6936e-003, 1.51,  0.17%,   1.93,   13017.3,  35,  ,693190.812,,,Ac228,911.20,904.912,916.521,#cc3333,,Linear
  934.21,     596.3,  52.8     ,8.6020e-004, 1.43,  0.15%,   0.82,    9542.1,  36,  ,693190.812,,,Bi214,934.06,925.914,942.85,#006600,,Linear
  949.78,     700.7,  94.5     ,1.0108e-003, 3.25,  0.34%,   1.45,    9980.4,  37,  ,693190.812,,,K40 (S.E.),949.75,939.463,957.076,,,Linear
  964.68,    1157.1,  79.5     ,1.6692e-003, 1.46,  0.15%,   1.91,    5601.0,  38,  ,693190.812,,,Ac228,964.77,959.109,966.796,#cc3333,,Linear
  968.97,    3720.3,  87.9     ,5.3669e-003, 1.44,  0.15%,   8.41,    9194.1,  39,  ,693190.812,,,Ac228,968.97,965.206,974.184,#cc3333,,Linear
