Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
   59.77,     934.2,  80.2     ,1.5867e-003, 0.90,  1.50%,   1.05,   43226.6,  1,  ,588791.750,,,Am241,59.54,54.2815,67.8258,#006600,,Linear
   63.53,     305.0,  77.1     ,5.1804e-004, 0.87,  1.37%,   1.05,   43226.6,  2,  ,588791.750,,,Th234,63.29,54.2815,67.8258,,,Linear
   75.17,    4738.6,  121.2    ,8.0480e-003, 0.95,  1.27%,  13.69,   69834.3,  3,  ,588791.750,,,Pb212 (x-ray),74.82,66.0935,83.0925,,,Linear
   77.40,    4818.6,  122.0    ,8.1839e-003, 0.87,  1.13%,  13.69,   69834.3,  4,  ,588791.750,,,Pb212 (x-ray),77.11,66.0935,83.0925,,,Linear
   93.26,    2121.6,  147.6    ,3.6032e-003, 1.22,  1.31%,  12.06,   21682.6,  5,  ,588791.750,,,Th234,92.80,90.847,96.1583,,,Constant
   99.90,     306.8,  81.7     ,5.2100e-004, 0.37,  0.37%,   3.22,   24305.1,  6,  ,588791.750,,,Ac228,99.51,95.7858,102.364,#00b9ff,,Linear
  105.93,     325.3,  77.6     ,5.5246e-004, 0.36,  0.34%,   2.57,   54561.9,  7,  ,588791.750,,,Ac228 (x-ray),105.60,100.333,114.554,#00b9ff,,Linear
  129.44,     794.3,  108.5    ,1.3491e-003, 0.75,  0.58%,   1.65,   41424.6,  8,  ,588791.750,,,Ac228,129.06,123.714,133.517,,,Linear
  154.18,     393.6,  81.9     ,6.6855e-004, 0.43,  0.28%,   1.28,   57357.4,  9,  ,588791.750,,,Ac228,153.98,147.322,161.047,,,Linear
  186.34,    2959.6,  138.4    ,5.0266e-003, 1.24,  0.67%,   1.43,   46124.2,  10,  ,588791.750,,,Ra226,186.21,179.57,191.084,,,Linear
  209.63,    1713.3,  125.0    ,2.9098e-003, 1.14,  0.55%,   1.08,   36440.4,  11,  ,588791.750,,,Ac228,209.25,205.307,215.465,#00b9ff,,Linear
  239.02,   19128.6,  168.4    ,3.2488e-002, 0.98,  0.41%,   7.07,   83471.1,  12,  ,588791.750,,,Pb212,238.63,229.011,248.653,,,Linear
  242.02,    4683.7,  140.9    ,7.9547e-003, 1.69,  0.70%,   7.07,   83471.1,  13,  ,588791.750,,,Pb214,242.00,229.011,248.653,,,Linear
  270.56,    1868.1,  121.3    ,3.1728e-003, 1.48,  0.55%,   0.86,   30864.6,  14,  ,588791.750,,,Ac228,270.25,264.797,276.422,#00b9ff,,Linear
  277.74,     931.9,  77.5     ,1.5828e-003, 1.03,  0.37%,   0.89,   26019.7,  15,  ,588791.750,,,Tl208,277.36,272.712,283.138,#9933FF,,Linear
  295.61,    6301.6,  121.6    ,1.0703e-002, 1.03,  0.35%,   2.83,   27170.8,  16,  ,588791.750,,,Pb214,295.24,289.968,299.45,#9933ff,,Linear
  300.48,    1350.3,  133.2    ,2.2934e-003, 1.00,  0.33%,   1.18,    9933.4,  17,  ,588791.750,,,Pb212,300.09,298.096,302.16,,,Linear
  328.44,    1032.6,  88.5     ,1.7538e-003, 1.59,  0.49%,   2.13,   19149.0,  18,  ,588791.750,,,Ac228,328.00,322.854,332.34,#00b9ff,,Linear
  338.84,    3523.9,  99.0     ,5.9850e-003, 0.99,  0.29%,  164.22,   21677.6,  19,  ,588791.750,,,Ac228,338.32,334.672,343.864,,,Linear
  352.44,   11260.1,  133.6    ,1.9124e-002, 1.15,  0.33%,   1.58,   29187.4,  20,  ,588791.750,,,Pb214,351.93,346.628,357.466,,,Linear
  410.14,     525.9,  61.0     ,8.9326e-004, 1.17,  0.28%,   0.91,   17647.6,  21,  ,588791.750,,,Ac228,409.46,405.663,418.662,#00b9ff,,Linear
  439.45,     363.8,  72.0     ,6.1781e-004, 1.19,  0.27%,   1.17,   16687.9,  22,  ,588791.750,,,K40 (D.E.),438.75,431.532,445.454,#cc3333,,Linear
  463.60,    1313.8,  81.5     ,2.2313e-003, 1.35,  0.29%,   1.63,   13110.7,  23,  ,588791.750,,,Ac228,463.00,457.747,468.585,,,Linear
  511.48,   10484.3,  135.3    ,1.7806e-002, 2.44,  0.48%,   2.39,   28374.5,  24,  ,588791.750,,,,,501.303,520.948,,,Linear
  583.71,    6295.1,  97.9     ,1.0692e-002, 1.29,  0.22%,   1.58,   14063.2,  25,  ,588791.750,,,Tl208,583.19,577.811,588.65,,,Linear
  609.87,    8376.2,  108.6    ,1.4226e-002, 1.31,  0.21%,   0.63,   15811.6,  26,  ,588791.750,,,Bi214,609.31,603.966,614.805,,,Linear
  662.31,   14436.6,  130.3    ,2.4519e-002, 1.48,  0.22%,   5.67,   25056.4,  27,  ,588791.750,,,Cs137,661.66,653.725,671.34,,,Linear
  666.16,     309.8,  44.9     ,5.2615e-004, 1.43,  0.21%,   5.67,   25056.4,  28,  ,588791.750,,,Bi214,665.45,653.725,671.34,,,Linear
  728.00,    1450.2,  63.6     ,2.4631e-003, 1.38,  0.19%,   0.61,    7250.5,  29,  ,588791.750,,,Bi212,727.33,722.044,732.884,,,Linear
  756.04,     182.8,  60.1     ,3.1045e-004, 1.81,  0.24%,   1.29,    7243.0,  30,  ,588791.750,,,Ac228,755.32,748.97,762.8,,,Linear
  769.10,     703.2,  56.0     ,1.1944e-003, 1.56,  0.20%,   1.41,   10964.6,  31,  ,588791.750,,,Bi214,768.36,758.735,778.383,,,Linear
  772.96,     248.5,  57.2     ,4.2198e-004, 1.77,  0.23%,   1.41,   10964.6,  32,  ,588791.750,,,Ac228,772.29,758.735,778.383,#00b9ff,,Linear
  786.43,     293.6,  45.8     ,4.9856e-004, 1.17,  0.15%,   0.73,    8928.7,  33,  ,588791.750,,,Pa234m,786.25,776.35,793.966,,,Linear
  795.65,     712.9,  54.7     ,1.2107e-003, 1.36,  0.17%,   0.61,    5863.7,  34,  ,588791.750,,,Ac228,794.95,789.686,800.525,,,Linear
  836.30,     278.0,  43.8     ,4.7210e-004, 1.32,  0.16%,   1.54,   11301.4,  35,  ,588791.750,,,Ac228,835.71,825.81,848.606,,,Linear
  840.90,     173.4,  47.9     ,2.9447e-004, 1.60,  0.19%,   3.00,   10925.9,  36,  ,588791.750,,,Ac228,840.38,826.931,849.041,,,Linear
  861.24,     709.8,  55.9     ,1.2056e-003, 1.50,  0.17%,   1.46,    8147.9,  37,  ,588791.750,,,Tl208,860.56,850.878,867.14,,,Linear
  911.84,    4540.8,  84.1     ,7.7121e-003, 1.52,  0.17%,   1.45,    9661.8,  38,  ,588791.750,,,Ac228,911.20,905.083,916.694,,,Linear
  934.76,     502.3,  52.6     ,8.5318e-004, 1.65,  0.18%,   1.11,    7923.3,  39,  ,588791.750,,,Bi214,934.06,926.088,943.028,,,Linear
  950.08,     707.2,  61.0     ,1.2010e-003, 3.35,  0.35%,   1.16,    9696.9,  40,  ,588791.750,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  965.32,     864.2,  63.5     ,1.4677e-003, 1.66,  0.17%,   1.25,    4212.3,  41,  ,588791.750,,,Ac228,964.77,959.29,966.899,,,Linear
  969.53,    2333.0,  69.4     ,3.9624e-003, 1.49,  0.15%,  18.68,   10208.9,  42,  ,588791.750,,,Ac228,968.97,958.792,974.367,,,Linear
 1001.64,     225.9,  46.0     ,3.8359e-004, 2.07,  0.21%,   1.09,    5570.0,  43,  ,588791.750,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.72,    2095.3,  68.1     ,3.5586e-003, 1.72,  0.15%,   1.58,   31495.9,  44,  ,588791.750,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1155.76,     178.0,  61.2     ,3.0236e-004, 1.47,  0.13%,   2.03,    7565.5,  45,  ,588791.750,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.83,     835.2,  68.7     ,1.4184e-003, 1.90,  0.15%,   1.10,    8852.1,  46,  ,588791.750,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1281.71,     177.1,  47.7     ,3.0073e-004, 1.51,  0.12%,   1.27,    4722.3,  47,  ,588791.750,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1378.42,     511.8,  41.1     ,8.6929e-004, 1.69,  0.12%,   0.97,    2548.2,  48,  ,588791.750,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1408.78,     253.6,  34.9     ,4.3070e-004, 1.62,  0.12%,   3.60,    2244.0,  49,  ,588791.750,,,Bi214,1407.98,1401.82,1413.49,,,Linear
 1461.76,   65619.2,  258.9    ,1.1145e-001, 1.93,  0.13%,   4.91,   67692.4,  50,  ,588791.750,,,K40,1460.75,1454.51,1468.24,,,Linear
 1510.18,     217.9,  31.0     ,3.7009e-004, 2.21,  0.15%,   0.64,    2142.1,  51,  ,588791.750,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1589.03,     400.3,  33.3     ,6.7991e-004, 2.00,  0.13%,   1.19,    5397.0,  52,  ,588791.750,,,Ac228,1588.20,1547.55,1597.03,,,Quardratic
 1593.57,     359.5,  43.2     ,6.1066e-004, 2.39,  0.15%,   1.19,    5397.0,  53,  ,588791.750,,,Tl208 (D.E.),625.50,1547.55,1597.03,,,Quardratic
 1621.53,     224.4,  29.1     ,3.8116e-004, 2.09,  0.13%,   1.06,    1536.9,  54,  ,588791.750,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1631.25,     199.3,  26.3     ,3.3854e-004, 1.76,  0.11%,   1.23,    1257.1,  55,  ,588791.750,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1661.96,     143.4,  26.0     ,2.4360e-004, 2.37,  0.14%,   0.92,    1719.8,  56,  ,588791.750,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1730.40,     402.4,  29.9     ,6.8339e-004, 1.93,  0.11%,   0.80,    1315.3,  57,  ,588791.750,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1765.44,    1966.3,  49.1     ,3.3396e-003, 2.17,  0.12%,   1.16,    3012.3,  58,  ,588791.750,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1848.29,     297.0,  26.8     ,5.0438e-004, 2.92,  0.16%,   1.33,    1774.2,  59,  ,588791.750,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2104.30,     417.6,  31.5     ,7.0925e-004, 3.16,  0.15%,   1.07,    1633.2,  60,  ,588791.750,,,Tl208 (S.E.),1233.00,2092.62,2114.99,,,Linear
 2119.41,     164.9,  23.5     ,2.8003e-004, 2.47,  0.12%,   1.14,    1194.1,  61,  ,588791.750,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2204.61,     572.7,  32.6     ,9.7275e-004, 2.58,  0.12%,   1.46,    1398.0,  62,  ,588791.750,,,Bi214,2204.21,2197.72,2214,,,Linear
 2448.69,     180.1,  23.3     ,3.0581e-004, 2.21,  0.09%,   2.16,     743.6,  63,  ,588791.750,,,Bi214,2447.86,2443.22,2458.13,,,Linear
 2615.62,    3741.8,  63.0     ,6.3550e-003, 2.66,  0.10%,   2.44,    4196.2,  64,  ,588791.750,,,Tl208,2614.53,2605.31,2624.99,,,Linear
