Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
  727.42,    3799.1,  90.5     ,3.1777e-003, 1.43,  0.20%,   0.98,   13151.6,  30,  ,1195547.125,,,Bi212,727.33,722.052,732.892,,,Linear
  755.25,     570.5,  80.6     ,4.7715e-004, 1.97,  0.26%,   0.30,   12098.5,  31,  ,1195547.125,,,Ac228,755.32,748.979,762.809,,,Linear
  768.49,    1499.3,  75.8     ,1.2541e-003, 1.53,  0.20%,   2.48,   18590.8,  32,  ,1195547.125,,,Bi214,768.36,758.744,778.392,,,Linear
  772.41,     610.9,  61.4     ,5.1102e-004, 1.28,  0.17%,   2.48,   18590.8,  33,  ,1195547.125,,,Ac228,772.29,758.744,778.392,#00b9ff,,Linear
  785.80,     783.3,  63.7     ,6.5518e-004, 1.46,  0.19%,   2.61,   14777.7,  34,  ,1195547.125,,,Pa234m,786.25,776.359,793.975,,,Linear
  795.05,    2122.8,  78.1     ,1.7756e-003, 1.50,  0.19%,   1.18,   10115.8,  35,  ,1195547.125,,,Ac228,794.95,789.695,800.534,,,Linear
  803.26,     556.3,  55.7     ,4.6531e-004, 1.63,  0.20%,   1.47,   10028.7,  36,  ,1195547.125,,,Pb206m,803.06,796.973,809.297,,,Linear
  835.79,     587.5,  54.4     ,4.9142e-004, 1.19,  0.14%,   7.34,   17787.0,  37,  ,1195547.125,,,Ac228,835.71,825.819,848.617,,,Linear
  840.08,     519.4,  54.4     ,4.3446e-004, 1.78,  0.21%,   8.61,   17235.7,  38,  ,1195547.125,,,Ac228,840.38,826.941,849.052,,,Linear
  860.62,    1924.2,  71.5     ,1.6095e-003, 1.45,  0.17%,   1.40,   13159.9,  39,  ,1195547.125,,,Tl208,860.56,850.889,867.151,,,Linear
  911.21,   11576.3,  123.8    ,9.6829e-003, 1.50,  0.16%,   0.53,   19373.3,  40,  ,1195547.125,,,Ac228,911.20,905.094,916.705,,,Linear
  934.07,     815.3,  62.3     ,6.8196e-004, 1.65,  0.18%,   1.91,   11775.2,  41,  ,1195547.125,,,Bi214,934.06,926.1,943.04,,,Linear
  949.72,     533.0,  68.7     ,4.4583e-004, 3.16,  0.33%,   1.24,   14168.7,  42,  ,1195547.125,,,K40 (S.E.),949.75,940.329,961.335,#cc3333,,Linear
  964.62,    1760.1,  88.4     ,1.4722e-003, 1.50,  0.16%,   1.03,    7046.1,  43,  ,1195547.125,,,Ac228,964.77,959.302,966.99,,,Linear
  968.91,    6406.4,  108.0    ,5.3586e-003, 1.48,  0.15%,   6.47,   12798.0,  44,  ,1195547.125,,,Ac228,968.97,965.401,974.38,,,Linear
 1001.09,     311.5,  56.9     ,2.6056e-004, 1.29,  0.13%,   1.05,    7963.0,  45,  ,1195547.125,,,Pa234m,1000.99,995.382,1007.7,,,Linear
 1120.08,    3889.1,  79.4     ,3.2530e-003, 1.74,  0.16%,   1.70,   40602.6,  46,  ,1195547.125,,,Bi214,1120.29,1114.33,1171.1,,,Linear
 1155.04,     416.8,  52.9     ,3.4862e-004, 1.84,  0.16%,   0.90,    9372.7,  47,  ,1195547.125,,,Bi214,1155.19,1148.7,1162.6,,,Linear
 1238.06,    1546.2,  80.0     ,1.2933e-003, 1.95,  0.16%,   1.02,   11152.1,  48,  ,1195547.125,,,Bi214,1238.11,1231.32,1245.11,,,Linear
 1280.79,     452.4,  71.0     ,3.7844e-004, 2.15,  0.17%,   1.68,    6614.1,  49,  ,1195547.125,,,Bi214,1280.96,1275.1,1287.57,,,Linear
 1377.73,     992.4,  53.8     ,8.3006e-004, 1.68,  0.12%,   1.06,    4382.1,  50,  ,1195547.125,,,Bi214,1377.67,1372.37,1383.38,,,Linear
 1408.29,     422.2,  47.4     ,3.5317e-004, 1.74,  0.12%,   4.50,    3906.6,  51,  ,1195547.125,,,Bi214,1407.98,1401.84,1413.51,,,Linear
 1460.99,   59854.2,  249.2    ,5.0064e-002, 1.90,  0.13%,   4.22,   63379.7,  52,  ,1195547.125,,,K40,1460.75,1454.53,1468.26,,,Linear
 1509.42,     460.8,  42.1     ,3.8545e-004, 1.84,  0.12%,   2.56,    4420.3,  53,  ,1195547.125,,,Bi214,1509.23,1501.72,1519.1,,,Linear
 1588.28,     924.9,  50.8     ,7.7360e-004, 1.71,  0.11%,   1.42,    4293.5,  54,  ,1195547.125,,,Ac228,1588.20,1584.17,1597.05,,,Quardratic
 1592.74,     566.9,  47.2     ,4.7417e-004, 1.71,  0.11%,   1.42,    4293.5,  55,  ,1195547.125,,,Tl208 (D.E.),1592.54,1584.17,1597.05,,,Quardratic
 1620.77,     499.1,  39.3     ,4.1748e-004, 1.85,  0.11%,   1.23,    3298.9,  56,  ,1195547.125,,,Bi212,1620.50,1613.32,1628.91,,,Linear
