Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI, File,         ,     ,     , Nuclide, Photopeak_Energy, ROI_Lower_Energy, ROI_Upper_Energy, Color, User_Label, Continuum_Type
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#, Name, LiveTime, Date, Time,        ,              keV,              keV,              keV, (css),           ,               
  769.19,    1013.3,  60.4     ,1.9269e-003, 1.56,  0.20%,   1.68,   11363.3,  31,  ,525880.062,,,Bi214,768.36,758.735,778.383,,,Linear
  772.84,     336.1,  54.6     ,6.3912e-004, 1.61,  0.21%,   1.68,   11363.3,  32,  ,525880.062,,,Ac228,772.29,758.735,778.383,#00b9ff,,Linear
  786.48,     443.4,  46.5     ,8.4325e-004, 1.18,  0.15%,   1.33,    8873.9,  33,  ,525880.062,,,Pa234m,786.25,776.35,793.966,,,Linear
  795.80,     879.7,  59.2     ,1.6728e-003, 1.54,  0.19%,   0.82,    5953.5,  34,  ,525880.062,,,Ac228,794.95,789.686,800.525,,,Linear
  836.37,     338.2,  46.8     ,6.4310e-004, 1.53,  0.18%,   3.76,   10971.1,  35,  ,525880.062,,,Ac228,835.71,825.81,848.606,,,Linear
  840.81,     300.7,  62.7     ,5.7188e-004, 2.23,  0.27%,   4.93,   10624.9,  36,  ,525880.062,,,Ac228,840.38,826.931,849.041,,,Linear
  861.38,     896.0,  54.2     ,1.7037e-003, 1.41,  0.16%,   1.24,    8146.5,  37,  ,525880.062,,,Tl208,860.56,850.878,867.14,,,Linear
  911.98,    5371.1,  89.1     ,1.0214e-002, 1.54,  0.17%,   2.69,   10425.7,  38,  ,525880.062,,,Ac228,911.20,905.083,916.694,,,Linear
  934.76,     523.9,  62.0     ,9.9614e-004, 2.25,  0.24%,   1.22,    7681.1,  39,  ,525880.062,,,Bi214,934.06,926.088,943.028,,,Linear
  950.30,     570.8,  65.8     ,1.0853e-003, 2.74,  0.29%,   1.00,    9568.6,  40,  ,525880.062,,,K40 (S.E.),949.75,940.317,961.322,#cc3333,,Linear
  965.46,     958.0,  112.7    ,1.8218e-003, 1.61,  0.17%,   0.63,    4224.0,  41,  ,525880.062,,,Ac228,964.77,959.29,966.978,,,Linear
  969.70,    3039.4,  71.3     ,5.7797e-003, 1.54,  0.16%,  14.28,   14727.2,  42,  ,525880.062,,,Ac228,968.97,954.509,979.418,,,Linear
 1001.93,     168.0,  46.2     ,3.1947e-004, 1.18,  0.12%,   1.59,    5274.4,  43,  ,525880.062,,,Pa234m,1000.99,995.369,1007.68,,,Linear
 1120.93,    2206.8,  67.0     ,4.1963e-003, 1.61,  0.14%,   1.75,   30265.4,  44,  ,525880.062,,,Bi214,1120.29,1114.32,1171.09,,,Linear
 1156.02,     298.8,  50.7     ,5.6827e-004, 1.49,  0.13%,   1.28,    7162.5,  45,  ,525880.062,,,Bi214,1155.19,1148.69,1162.58,,,Linear
 1238.89,     860.0,  68.0     ,1.6354e-003, 1.80,  0.15%,   1.74,    8733.2,  46,  ,525880.062,,,Bi214,1238.11,1231.31,1245.09,,,Linear
 1281.79,     133.1,  43.7     ,2.5313e-004, 1.09,  0.09%,   0.69,    4636.7,  47,  ,525880.062,,,Bi214,1280.96,1275.08,1287.56,,,Linear
 1378.61,     546.4,  42.4     ,1.0390e-003, 1.69,  0.12%,   1.13,    2571.7,  48,  ,525880.062,,,Bi214,1377.67,1372.35,1383.36,,,Linear
 1409.22,     281.9,  31.7     ,5.3610e-004, 1.62,  0.11%,   2.54,    4872.5,  49,  ,525880.062,,,Bi214,1407.98,1393.64,1421.67,,,Linear
 1461.95,   62216.6,  252.1    ,1.1831e-001, 1.93,  0.13%,   2.72,   64130.1,  50,  ,525880.062,,,K40,1460.75,1454.51,1468.24,,,Linear
 1510.47,     257.0,  31.5     ,4.8872e-004, 2.01,  0.13%,   2.35,    2160.9,  51,  ,525880.062,,,Bi214,1509.23,1501.7,1519.07,,,Linear
 1589.00,     584.1,  78.4     ,1.1107e-003, 2.20,  0.14%,   3.58,    2087.1,  52,  ,525880.062,,,Ac228,1588.20,1584.15,1597.03,,,Quardratic
 1593.48,     456.2,  93.0     ,8.6752e-004, 2.54,  0.16%,   3.58,    2087.1,  53,  ,525880.062,,,Tl208 (D.E.),625.50,1584.15,1597.03,,,Quardratic
 1621.83,     268.5,  35.0     ,5.1054e-004, 2.71,  0.17%,   1.15,    1572.4,  54,  ,525880.062,,,Bi212,1620.50,1613.29,1628.88,,,Linear
 1631.59,     249.0,  29.0     ,4.7359e-004, 1.92,  0.12%,   1.59,    1285.1,  55,  ,525880.062,,,Ac228,1630.63,1625.07,1637.7,,,Linear
 1662.25,     126.9,  23.4     ,2.4138e-004, 1.91,  0.11%,   0.80,    1611.0,  56,  ,525880.062,,,Bi214,1661.28,1651.26,1670.92,,,Linear
 1730.65,     437.2,  32.6     ,8.3129e-004, 2.28,  0.13%,   2.60,    1334.0,  57,  ,525880.062,,,Bi214,1729.59,1723.11,1736.3,,,Linear
 1765.63,    2191.9,  52.6     ,4.1680e-003, 2.12,  0.12%,   1.43,    3192.5,  58,  ,525880.062,,,Bi214,1764.49,1757.37,1772.1,,,Linear
 1848.59,     267.4,  27.0     ,5.0839e-004, 2.07,  0.11%,   0.87,    1731.9,  59,  ,525880.062,,,Bi214,1847.42,1832.94,1855.99,,,Linear
 2104.48,     573.4,  33.5     ,1.0904e-003, 3.09,  0.15%,   1.07,    1726.6,  60,  ,525880.062,,,Tl208 (S.E.),1233.00,2092.62,2114.99,,,Linear
 2119.76,     177.9,  25.5     ,3.3825e-004, 2.73,  0.13%,   1.88,    1174.9,  61,  ,525880.062,,,Bi214,2118.55,2108.89,2128.55,,,Linear
 2204.99,     617.8,  32.9     ,1.1748e-003, 2.45,  0.11%,   0.74,    1445.5,  62,  ,525880.062,,,Bi214,2204.21,2197.72,2214,,,Linear
 2448.89,     213.0,  22.0     ,4.0510e-004, 2.48,  0.10%,   1.19,    1246.3,  63,  ,525880.062,,,Bi214,2447.86,2429.34,2458.13,,,Linear
 2615.97,    4104.0,  66.0     ,7.8040e-003, 2.63,  0.10%,   0.90,    4566.9,  64,  ,525880.062,,,Tl208,2614.53,2605.31,2624.99,,,Linear
