Energy (keV),g/Bq/second,Parent,Mode,Particle,Normalized Intensity
485.950,0.000187392,Tl208, Tl208 to Pb208 via Beta,gamma,0.0005,
493.300,3.594e-05,Bi212, Bi212 to Tl208 via Alpha,gamma,9.589511e-05,
510.770,0.0854509,Tl208, Tl208 to Pb208 via Beta,gamma,0.228,
583.191,0.319316,Tl208, Tl208 to Pb208 via Beta,gamma,0.852,
587.700,0.000149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.0004,
650.100,0.000134922,Tl208, Tl208 to Pb208 via Beta,gamma,0.00036,
705.200,8.24526e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00022,
722.040,0.000760813,Tl208, Tl208 to Pb208 via Beta,gamma,0.00203,
727.330,0.0666865,Bi212, Bi212 to Po212 via Beta,gamma,0.1779328,
748.700,0.000161157,Tl208, Tl208 to Pb208 via Beta,gamma,0.00043,
763.130,0.00685856,Tl208, Tl208 to Pb208 via Beta,gamma,0.0183,
785.370,0.0110183,Bi212, Bi212 to Po212 via Beta,gamma,0.02939909,
821.200,0.000149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.0004,
860.564,0.0469605,Tl208, Tl208 to Pb208 via Beta,gamma,0.1253,
883.300,0.000116183,Tl208, Tl208 to Pb208 via Beta,gamma,0.00031,
893.408,0.00377954,Bi212, Bi212 to Po212 via Beta,gamma,0.01008457,
927.600,0.000494715,Tl208, Tl208 to Pb208 via Beta,gamma,0.00132,
952.120,0.00166556,Bi212, Bi212 to Po212 via Beta,gamma,0.004444048,
982.700,0.000768308,Tl208, Tl208 to Pb208 via Beta,gamma,0.00205,
1004.000,1.87392e-05,Tl208, Tl208 to Pb208 via Beta,gamma,5e-05,
1073.600,0.00016015,Bi212, Bi212 to Po212 via Beta,gamma,0.0004273123,
1078.620,0.00563728,Bi212, Bi212 to Po212 via Beta,gamma,0.01504139,
1093.900,0.00149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.004,
1125.700,1.87392e-05,Tl208, Tl208 to Pb208 via Beta,gamma,5e-05,
1160.800,4.12263e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00011,
1185.200,6.37134e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00017,
1282.800,0.000194888,Tl208, Tl208 to Pb208 via Beta,gamma,0.00052,
1381.100,2.62349e-05,Tl208, Tl208 to Pb208 via Beta,gamma,7e-05,
1512.700,0.0028827,Bi212, Bi212 to Po212 via Beta,gamma,0.007691621,
1620.500,0.0146697,Bi212, Bi212 to Po212 via Beta,gamma,0.03914181,
1647.500,7.49569e-06,Tl208, Tl208 to Pb208 via Beta,gamma,2e-05,
1679.700,0.00057654,Bi212, Bi212 to Po212 via Beta,gamma,0.001538324,
1744.000,7.49569e-06,Tl208, Tl208 to Pb208 via Beta,gamma,2e-05,
1800.200,4.09984e-05,Bi212, Bi212 to Po212 via Beta,gamma,0.0001093919,
1806.000,0.00089684,Bi212, Bi212 to Po212 via Beta,gamma,0.002392949,
2614.533,0.374784,Tl208, Tl208 to Pb208 via Beta,gamma,1,

